No.	ポケモン	HP	攻撃	防御	特攻	特防	素早さ	合計
56	マンキー	40	80	35	35	45	70	305
57	オコリザル	65	105	60	60	70	95	455
58	ガーディ	55	70	45	70	50	60	350
59	ウインディ	90	110	80	100	80	95	555
60	ニョロモ	40	50	40	40	40	90	300
61	ニョロゾ	65	65	65	50	50	90	385
62	ニョロボン	90	85	95	70	90	70	500
63	ケーシィ	25	20	15	105	55	90	310
64	ユンゲラー	40	35	30	120	70	105	400
65	フーディン	55	50	45	135	85	120	490
66	ワンリキー	70	80	50	35	35	35	305
67	ゴーリキー	80	100	70	50	60	45	405
68	カイリキー	90	130	80	65	85	55	505
69	マダツボミ	50	75	35	70	30	40	300
70	ウツドン	65	90	50	85	45	55	390
71	ウツボット	80	105	65	100	60	70	480
72	メノクラゲ	40	40	35	50	100	70	335
73	ドククラゲ	80	70	65	80	120	100	515
74	イシツブテ	40	80	100	30	30	20	300
75	ゴローン	55	95	115	45	45	35	390
76	ゴローニャ	80	110	130	55	65	45	485
77	ポニータ	50	85	55	65	65	90	410
78	ギャロップ	65	100	70	80	80	105	500
79	ヤドン	90	65	65	40	40	15	315
80	ヤドラン	95	75	110	100	80	30	490
81	コイル	25	35	70	95	55	45	325
82	レアコイル	50	60	95	120	70	70	465
83	カモネギ	52	65	55	58	62	60	352
84	ドードー	35	85	45	35	35	75	310
85	ドードリオ	60	110	70	60	60	100	460
86	パウワウ	65	45	55	45	70	45	325
87	ジュゴン	90	70	80	70	95	70	475
88	ベトベター	80	80	50	40	50	25	325
89	ベトベトン	105	105	75	65	100	50	500
90	シェルダー	30	65	100	45	25	40	305
91	パルシェン	50	95	180	85	45	70	525
92	ゴース	30	35	30	100	35	80	310
93	ゴースト	45	50	45	115	55	95	405
94	ゲンガー	60	65	60	130	75	110	500
95	イワーク	35	45	160	30	45	70	385
96	スリープ	60	48	45	43	90	42	328
97	スリーパー	85	73	70	73	115	67	483
98	クラブ	30	105	90	25	25	50	325
99	キングラー	55	130	115	50	50	75	475
100	ビリリダマ	40	30	50	55	55	100	330
101	マルマイン	60	50	70	80	80	140	480
102	タマタマ	60	40	80	60	45	40	325
103	ナッシー	95	95	85	125	65	55	520
104	カラカラ	50	50	95	40	50	35	320
105	ガラガラ	60	80	110	50	80	45	425
106	サワムラー	50	120	53	35	110	87	455
107	エビワラー	50	105	79	35	110	76	455
108	ベロリンガ	90	55	75	60	75	30	385
109	ドガース	40	65	95	60	45	35	340
110	マタドガス	65	90	120	85	70	60	490
111	サイホーン	80	85	95	30	30	25	345
112	サイドン	105	130	120	45	45	40	485
113	ラッキー	250	5	5	35	105	50	450
114	モンジャラ	65	55	115	100	40	60	435
115	ガルーラ	105	95	80	40	80	90	490
116	タッツー	30	40	70	70	25	60	295
117	シードラ	55	65	95	95	45	85	440
118	トサキント	45	67	60	35	50	63	320
119	アズマオウ	80	92	65	65	80	68	450
120	ヒトデマン	30	45	55	70	55	85	340
121	スターミー	60	75	85	100	85	115	520
122	バリヤード	40	45	65	100	120	90	460
123	ストライク	70	110	80	55	80	105	500
124	ルージュラ	65	50	35	115	95	95	455
125	エレブー	65	83	57	95	85	105	490
126	ブーバー	65	95	57	100	85	93	495
127	カイロス	65	125	100	55	70	85	500
128	ケンタロス	75	100	95	40	70	110	490
129	コイキング	20	10	55	15	20	80	200
130	ギャラドス	95	125	79	60	100	81	540
131	ラプラス	130	85	80	85	95	60	535
132	メタモン	48	48	48	48	48	48	288
133	イーブイ	55	55	50	45	65	55	325
134	シャワーズ	130	65	60	110	95	65	525
135	サンダース	65	65	60	110	95	130	525
136	ブースター	65	130	60	95	110	65	525
137	ポリゴン	65	60	70	85	75	40	395
138	オムナイト	35	40	100	90	55	35	355
139	オムスター	70	60	125	115	70	55	495
140	カブト	30	80	90	55	45	55	355
141	カブトプス	60	115	105	65	70	80	495
142	プテラ	80	105	65	60	75	130	515
143	カビゴン	160	110	65	65	110	30	540
144	フリーザー	90	85	100	95	125	85	580
145	サンダー	90	90	85	125	90	100	580
146	ファイヤー	90	100	90	125	85	90	580
147	ミニリュウ	41	64	45	50	50	50	300
148	ハクリュー	61	84	65	70	70	70	420
149	カイリュー	91	134	95	100	100	80	600
150	ミュウツー	106	110	90	154	90	130	680
151	ミュウ	100	100	100	100	100	100	600
152	チコリータ	45	49	65	49	65	45	318
153	ベイリーフ	60	62	80	63	80	60	405
154	メガニウム	80	82	100	83	100	80	525
155	ヒノアラシ	39	52	43	60	50	65	309
156	マグマラシ	58	64	58	80	65	80	405
157	バクフーン	78	84	78	109	85	100	534
158	ワニノコ	50	65	64	44	48	43	314
159	アリゲイツ	65	80	80	59	63	58	405
160	オーダイル	85	105	100	79	83	78	530
161	オタチ	35	46	34	35	45	20	215
162	オオタチ	85	76	64	45	55	90	415
163	ホーホー	60	30	30	36	56	50	262
164	ヨルノズク	100	50	50	76	96	70	442
165	レディバ	40	20	30	40	80	55	265
166	レディアン	55	35	50	55	110	85	390
167	イトマル	40	60	40	40	40	30	250
168	アリアドス	70	90	70	60	60	40	390
169	クロバット	85	90	80	70	80	130	535
170	チョンチー	75	38	38	56	56	67	330
171	ランターン	125	58	58	76	76	67	460
172	ピチュー	20	40	15	35	35	60	205
173	ピィ	50	25	28	45	55	15	218
174	ププリン	90	30	15	40	20	15	210
175	トゲピー	35	20	65	40	65	20	245
176	トゲチック	55	40	85	80	105	40	405
177	ネイティ	40	50	45	70	45	70	320
178	ネイティオ	65	75	70	95	70	95	470
179	メリープ	55	40	40	65	45	35	280
180	モココ	70	55	55	80	60	45	365
181	デンリュウ	90	75	75	115	90	55	500
182	キレイハナ	75	80	85	90	100	50	480
183	マリル	70	20	50	20	50	40	250
184	マリルリ	100	50	80	50	80	50	410
185	ウソッキー	70	100	115	30	65	30	410
186	ニョロトノ	90	75	75	90	100	70	500
187	ハネッコ	35	35	40	35	55	50	250
188	ポポッコ	55	45	50	45	65	80	340
189	ワタッコ	75	55	70	55	85	110	450
190	エイパム	55	70	55	40	55	85	360
191	ヒマナッツ	30	30	30	30	30	30	180
192	キマワリ	75	75	55	105	85	30	425
193	ヤンヤンマ	65	65	45	75	45	95	390
194	ウパー	55	45	45	25	25	15	210
195	ヌオー	95	85	85	65	65	35	430
196	エーフィ	65	65	60	130	95	110	525
197	ブラッキー	95	65	110	60	130	65	525
198	ヤミカラス	60	85	42	85	42	91	405
199	ヤドキング	95	75	80	100	110	30	490
200	ムウマ	60	60	60	85	85	85	435
201	アンノーン	48	72	48	72	48	48	336
202	ソーナンス	190	33	58	33	58	33	405
203	キリンリキ	70	80	65	90	65	85	455
204	クヌギダマ	50	65	90	35	35	15	290
205	フォレトス	75	90	140	60	60	40	465
206	ノコッチ	100	70	70	65	65	45	415
207	グライガー	65	75	105	35	65	85	430
208	ハガネール	75	85	200	55	65	30	510
209	ブルー	60	80	50	40	40	30	300
210	グランブル	90	120	75	60	60	45	450
211	ハリーセン	65	95	75	55	55	85	430
212	ハッサム	70	130	100	55	80	65	500
213	ツボツボ	20	10	230	10	230	5	505
214	ヘラクロス	80	125	75	40	95	85	500
215	ニューラ	55	95	55	35	75	115	430
216	ヒメグマ	60	80	50	50	50	40	330
217	リングマ	90	130	75	75	75	55	500
218	マグマッグ	40	40	40	70	40	20	250
219	マグカルゴ	50	50	120	80	80	30	410
220	ウリムー	50	50	40	30	30	50	250
221	イノムー	100	100	80	60	60	50	450
222	サニーゴ	55	55	85	65	85	35	380
223	テッポウオ	35	65	35	65	35	65	300
224	オクタン	75	105	75	105	75	45	480
225	デリバード	45	55	45	65	45	75	330
226	マンタイン	65	40	70	80	140	70	465
227	エアームド	65	80	140	40	70	70	465
228	デルビル	45	60	30	80	50	65	330
229	ヘルガー	75	90	50	110	80	95	500
230	キングドラ	75	95	95	95	95	85	540
231	ゴマゾウ	90	60	60	40	40	40	330
232	ドンファン	90	120	120	60	60	50	500
233	ポリゴン2	85	80	90	105	95	60	515
234	オドシシ	73	95	62	85	65	85	465
235	ドーブル	55	20	35	20	45	75	250
236	バルキー	35	35	35	35	35	35	210
237	カポエラー	50	95	95	35	110	70	455
238	ムチュール	45	30	15	85	65	65	305
239	エレキッド	45	63	37	65	55	95	360
240	ブビィ	45	75	37	70	55	83	365
241	ミルタンク	95	80	105	40	70	100	490
242	ハピナス	255	10	10	75	135	55	540
243	ライコウ	90	85	75	115	100	115	580
244	エンテイ	115	115	85	90	75	100	580
245	スイクン	100	75	115	90	115	85	580
246	ヨーギラス	50	64	50	45	50	41	300
247	サナギラス	70	84	70	65	70	51	410
248	バンギラス	100	134	110	95	100	61	600
249	ルギア	106	90	130	90	154	110	680
250	ホウオウ	106	130	90	110	154	90	680
251	セレビィ	100	100	100	100	100	100	600
